"#0000000008000000","i%8==4?8:0"
"#0000142814280000","""@@EJEJ@""[i%8]*4"
"#0000220000002200","i%4==2?34:0"
"#00003c24243c0000","""@@OIIO@""[i%8]*4"
"#00003c3c3c3c0000","""@@OOOO@""[i%8]*4"
"#0004000000400000","""@A@@@P@""[i%8]*4"
"#0010420000210400","97^""aq#aa@ea""[i%8]"
"#0011000000440000","98^""bsbbb&bb""[i%8]"
"#0440002200011000","99^""g#cAcbsc""[i%8]"
"#0440010820028010","99^""g#bkCa\343s""[i%8]"
"#0801004800021000","99^""kbc+casc""[i%8]"
"#08200aa005500410","96^""h@j\300e0dp""[i%8]"
"#0c6c63033036c6c0","66^""N.!Art\204\202""[i%8]"
"#1100000011000000","i%4?0:17"
"#183060c08103060c","24<<i%8|24>>8-i%8"
"#1c3870e0c183070e","28<<i%8|28>>8-i%8"
"#40140110a2084009","96^"" tap\302h i""[i%8]"
"#552b170f17234180","96^""5KwowC!\340""[i%8]"
"#55aa558855aa5588","45+""(}([""[i%4]"
"#55aa558a55aa55a8","45+""(}(](}({""[i%8]"
"#55aa55aa55aa55aa","85<<i%2"
"#66cc993366cc9933","51+""3\231f""[i%4]"
"#77aa55aa77aa55aa","53+""Bu u""[i%4]"
"#77aaddaa77aaddaa","106+""\r@s@""[i%4]"
"#77bbddee77bbddee","119+""\0Dfw""[i%4]"
"#77eeddbb77eeddbb","119+""\0wfD""[i%4]"
"#78787878aa55aa55","44+""LLLL~)~)""[i%8]"
"#7dbbd7e3f5ee5f3e","128^""\375;Wcun\337\276""[i%8]"
"#7e3d031b1b030100","72^""6uKSSKIH""[i%8]"
"#83c66c381c3663c1","15+""t\267])\r'T\262""[i%8]"
"#ba77abddea77aedd","110+""L\t=o|\t@o""[i%8]"
"#ba77bbddea77aedd","110+""L\tMo|\t@o""[i%8]"
"#ffbbffeeffbbffee","194^""=y=,""[i%4]"
"#ffbbffffffeeffff","144^""o+ooo~oo""[i%8]"
"#ffdffffffffdffff","144^""oOooomoo""[i%8]"
"#ffffffeeffffffee","i%4==3?238:~0"
